candidate_id,base_candidate_id,target_horizon_hours,decision,reject_reasons,pre_may_pass,post_may_eligible
a7o_l1_C0064_1454__A7R_H4,a7o_l1_C0064_1454,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail,False,False
a7o_l1_C0064_1454__A7R_H8,a7o_l1_C0064_1454,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_severe_fail,False,False
a7o_l1_C0064_1454__A7R_H12,a7o_l1_C0064_1454,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost30_recent_nonpositive;may_raw_severe_fail,False,False
a7o_l1_C0064_1454__A7R_H24,a7o_l1_C0064_1454,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0064_1454__A7R_H48,a7o_l1_C0064_1454,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0064_1454__A7R_H72,a7o_l1_C0064_1454,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0064_1454__A7R_H96,a7o_l1_C0064_1454,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0064_0565__A7R_H4,a7o_l1_C0064_0565,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0064_0565__A7R_H8,a7o_l1_C0064_0565,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0064_0565__A7R_H12,a7o_l1_C0064_0565,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0064_0565__A7R_H24,a7o_l1_C0064_0565,24,A7R_HORIZON_HOLD,cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0064_0565__A7R_H48,a7o_l1_C0064_0565,48,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0064_0565__A7R_H72,a7o_l1_C0064_0565,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0064_0565__A7R_H96,a7o_l1_C0064_0565,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0078_1648__A7R_H4,a7o_l1_C0078_1648,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_1648__A7R_H8,a7o_l1_C0078_1648,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_1648__A7R_H12,a7o_l1_C0078_1648,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_1648__A7R_H24,a7o_l1_C0078_1648,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_1648__A7R_H48,a7o_l1_C0078_1648,48,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_1648__A7R_H72,a7o_l1_C0078_1648,72,A7R_HORIZON_HOLD,cost30_recent_nonpositive,False,False
a7o_l1_C0078_1648__A7R_H96,a7o_l1_C0078_1648,96,A7R_HORIZON_HOLD,cost30_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_2032__A7R_H4,a7o_l1_C0078_2032,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_2032__A7R_H8,a7o_l1_C0078_2032,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_2032__A7R_H12,a7o_l1_C0078_2032,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_2032__A7R_H24,a7o_l1_C0078_2032,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_2032__A7R_H48,a7o_l1_C0078_2032,48,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_2032__A7R_H72,a7o_l1_C0078_2032,72,A7R_HORIZON_HOLD,cost30_recent_nonpositive,False,False
a7o_l1_C0078_2032__A7R_H96,a7o_l1_C0078_2032,96,A7R_HORIZON_HOLD,cost30_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_0752__A7R_H4,a7o_l1_C0078_0752,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_0752__A7R_H8,a7o_l1_C0078_0752,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_0752__A7R_H12,a7o_l1_C0078_0752,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_0752__A7R_H24,a7o_l1_C0078_0752,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_0752__A7R_H48,a7o_l1_C0078_0752,48,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0078_0752__A7R_H72,a7o_l1_C0078_0752,72,A7R_HORIZON_HOLD,cost30_recent_nonpositive,False,False
a7o_l1_C0078_0752__A7R_H96,a7o_l1_C0078_0752,96,A7R_HORIZON_HOLD,cost30_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1454__A7R_H4,a7o_l1_C0082_1454,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1454__A7R_H8,a7o_l1_C0082_1454,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1454__A7R_H12,a7o_l1_C0082_1454,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1454__A7R_H24,a7o_l1_C0082_1454,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1454__A7R_H48,a7o_l1_C0082_1454,48,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1454__A7R_H72,a7o_l1_C0082_1454,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0082_1454__A7R_H96,a7o_l1_C0082_1454,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0082_0372__A7R_H4,a7o_l1_C0082_0372,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_residual_funding_negative,False,False
a7o_l1_C0082_0372__A7R_H8,a7o_l1_C0082_0372,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_residual_funding_negative,False,False
a7o_l1_C0082_0372__A7R_H12,a7o_l1_C0082_0372,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_0372__A7R_H24,a7o_l1_C0082_0372,24,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_0372__A7R_H48,a7o_l1_C0082_0372,48,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_0372__A7R_H72,a7o_l1_C0082_0372,72,A7R_HORIZON_HOLD,raw_validation_nonpositive,False,False
a7o_l1_C0082_0372__A7R_H96,a7o_l1_C0082_0372,96,A7R_HORIZON_HOLD,raw_validation_nonpositive,False,False
a7o_l1_C0082_1066__A7R_H4,a7o_l1_C0082_1066,4,A7R_HORIZON_HOLD,cost20_recent_nonpositive;cost30_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1066__A7R_H8,a7o_l1_C0082_1066,8,A7R_HORIZON_HOLD,cost20_recent_nonpositive;cost30_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1066__A7R_H12,a7o_l1_C0082_1066,12,A7R_HORIZON_HOLD,cost30_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1066__A7R_H24,a7o_l1_C0082_1066,24,A7R_HORIZON_HOLD,residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1066__A7R_H48,a7o_l1_C0082_1066,48,A7R_HORIZON_HOLD,residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0082_1066__A7R_H72,a7o_l1_C0082_1066,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0082_1066__A7R_H96,a7o_l1_C0082_1066,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1842__A7R_H4,a7o_l1_C0083_1842,4,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1842__A7R_H8,a7o_l1_C0083_1842,8,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1842__A7R_H12,a7o_l1_C0083_1842,12,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1842__A7R_H24,a7o_l1_C0083_1842,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1842__A7R_H48,a7o_l1_C0083_1842,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1842__A7R_H72,a7o_l1_C0083_1842,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1842__A7R_H96,a7o_l1_C0083_1842,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1356__A7R_H4,a7o_l1_C0083_1356,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0083_1356__A7R_H8,a7o_l1_C0083_1356,8,A7R_HORIZON_HOLD,cost20_recent_nonpositive;cost30_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0083_1356__A7R_H12,a7o_l1_C0083_1356,12,A7R_HORIZON_HOLD,cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_severe_fail;may_residual_funding_negative,False,False
a7o_l1_C0083_1356__A7R_H24,a7o_l1_C0083_1356,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1356__A7R_H48,a7o_l1_C0083_1356,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1356__A7R_H72,a7o_l1_C0083_1356,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1356__A7R_H96,a7o_l1_C0083_1356,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1550__A7R_H4,a7o_l1_C0083_1550,4,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1550__A7R_H8,a7o_l1_C0083_1550,8,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1550__A7R_H12,a7o_l1_C0083_1550,12,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1550__A7R_H24,a7o_l1_C0083_1550,24,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1550__A7R_H48,a7o_l1_C0083_1550,48,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1550__A7R_H72,a7o_l1_C0083_1550,72,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0083_1550__A7R_H96,a7o_l1_C0083_1550,96,A7R_HORIZON_MAY_VETOED,may_raw_severe_fail;may_residual_funding_negative,True,False
a7o_l1_C0094_0757__A7R_H4,a7o_l1_C0094_0757,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0094_0757__A7R_H8,a7o_l1_C0094_0757,8,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0094_0757__A7R_H12,a7o_l1_C0094_0757,12,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0094_0757__A7R_H24,a7o_l1_C0094_0757,24,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0757__A7R_H48,a7o_l1_C0094_0757,48,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0757__A7R_H72,a7o_l1_C0094_0757,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0757__A7R_H96,a7o_l1_C0094_0757,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0756__A7R_H4,a7o_l1_C0094_0756,4,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0094_0756__A7R_H8,a7o_l1_C0094_0756,8,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0094_0756__A7R_H12,a7o_l1_C0094_0756,12,A7R_HORIZON_HOLD,cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0094_0756__A7R_H24,a7o_l1_C0094_0756,24,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0756__A7R_H48,a7o_l1_C0094_0756,48,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0756__A7R_H72,a7o_l1_C0094_0756,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0756__A7R_H96,a7o_l1_C0094_0756,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0373__A7R_H4,a7o_l1_C0094_0373,4,A7R_HORIZON_HOLD,cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0094_0373__A7R_H8,a7o_l1_C0094_0373,8,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0373__A7R_H12,a7o_l1_C0094_0373,12,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0373__A7R_H24,a7o_l1_C0094_0373,24,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0373__A7R_H48,a7o_l1_C0094_0373,48,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0373__A7R_H72,a7o_l1_C0094_0373,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0094_0373__A7R_H96,a7o_l1_C0094_0373,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0107_0775__A7R_H4,a7o_l1_C0107_0775,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0107_0775__A7R_H8,a7o_l1_C0107_0775,8,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0107_0775__A7R_H12,a7o_l1_C0107_0775,12,A7R_HORIZON_HOLD,cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0107_0775__A7R_H24,a7o_l1_C0107_0775,24,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0107_0775__A7R_H48,a7o_l1_C0107_0775,48,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0107_0775__A7R_H72,a7o_l1_C0107_0775,72,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0107_0775__A7R_H96,a7o_l1_C0107_0775,96,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0107_1744__A7R_H4,a7o_l1_C0107_1744,4,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0107_1744__A7R_H8,a7o_l1_C0107_1744,8,A7R_HORIZON_HOLD,raw_validation_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0107_1744__A7R_H12,a7o_l1_C0107_1744,12,A7R_HORIZON_HOLD,raw_validation_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0107_1744__A7R_H24,a7o_l1_C0107_1744,24,A7R_HORIZON_MAY_VETOED,may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,True,False
a7o_l1_C0107_1744__A7R_H48,a7o_l1_C0107_1744,48,A7R_HORIZON_HOLD,lag2_recent_nonpositive;lag3_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0107_1744__A7R_H72,a7o_l1_C0107_1744,72,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0107_1744__A7R_H96,a7o_l1_C0107_1744,96,A7R_HORIZON_HOLD,raw_validation_nonpositive;raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
a7o_l1_C0107_0289__A7R_H4,a7o_l1_C0107_0289,4,A7R_HORIZON_HOLD,raw_recent_nonpositive;cost20_recent_nonpositive;cost30_recent_nonpositive;lag1_recent_nonpositive;lag2_recent_nonpositive;lag3_recent_nonpositive;residual_funding_recent_nonpositive;residual_core4_recent_nonpositive;may_raw_gross_below_min;may_residual_gross_below_min;may_raw_active_below_min;may_residual_active_below_min,False,False
